# Solcast https://solcast.com,,,,,,,,,
# Monthly averages for solar radiation air temperature and wind speed,,,,,,,,,
# Latitude: 24.932401,,,,,,,,,
# Longitude: 67.112738,,,,,,,,,
# Probability of exceedance statistic: p50,,,,,,,,,
#,,,,,,,,,
# GhiDaily: average daily sum of global horizontal irradiance [kWh/m^2/day],,,,,,,,,
# DniDaily: average daily sum of direct normal irradiance [kWh/m^2/day],,,,,,,,,
# DhiDaily: average daily sum of diffuse horizontal irradiance [kWh/m^2/day],,,,,,,,,
# GhiMonthly: monthly sum of global horizontal irradiance [kWh/m^2/month],,,,,,,,,
# DniMonthly: monthly sum of direct normal irradiance [kWh/m^2/month],,,,,,,,,
# DhiMonthly: monthly sum of diffuse horizontal irradiance [kWh/m^2/month],,,,,,,,,
# AirTempMonthly: average 2m air temperature [degrees Celcius],,,,,,,,,
# WindSpeed: average 10m wind speed [m/s],,,,,,,,,
#,,,,,,,,,
Month,Month,GhiDaily,DniDaily,DhiDaily,GhiMonthly,DniMonthly,DhiMonthly,AirTempMonthly,WindSpeed
January,1,4.31,5.08,1.59,133.63,157.52,49.18,19.38,3.12
February,2,5.05,5.72,1.59,141.33,160.14,44.53,20.47,3.53
March,3,6.08,5.84,2.01,188.37,181.18,62.18,26.02,4.72
April,4,6.38,5.43,2.25,191.55,162.89,67.55,28.36,6.15
May,5,6.69,4.88,2.79,207.29,151.21,86.4,30.73,7.27
June,6,5.45,3.44,2.71,163.38,103.34,81.24,30.94,6.18
July,7,4.12,1.49,2.9,127.68,46.07,89.81,29.9,6.36
August,8,3.87,1.78,2.49,119.93,55.27,77.18,29.26,5.38
September,9,5.18,3.63,2.56,155.27,108.85,76.77,28.65,4.81
October,10,5.34,5.51,1.79,165.6,170.86,55.48,28.27,3.77
November,11,4.47,5.07,1.61,134.09,152.17,48.45,25.15,2.7
December,12,4.01,5.11,1.37,124.43,158.44,42.54,21.5,2.99
Total,,5.08,4.42,2.14,1852.54,1607.95,781.31,26.55,4.75
